# these come from the trainable_p branch, which allows for P to be trainable and also records the distributions
# of weights in P and the distributions of the intrinsic weights

intrisic_dim std_P_untrained std_P std_P_linear std_P_squared std_P_cubed std_intrinsic_untrained std_intrinsic
100 0.04999437928199768 0.1108318567276001 0.13085442781448364 0.12318259477615356 0.06366831809282303 0.045134659856557846 0.013968867249786854
200 0.049999337643384933 0.09812626242637634 0.11828833818435669 0.10551927238702774 0.05694308876991272 0.04402460157871246 0.010352612473070621
300 0.049999602138996124 0.08971886336803436 0.10283151268959045 0.09564512968063354 0.06555166840553284 0.05431664362549782 0.010888260789215565
400 0.05000103637576103 0.09174986928701401 0.10612217336893082 0.0992627814412117 0.0627346783876419 0.05030212178826332 0.00798014085739851
500 0.050002869218587875 0.09408099204301834 0.10028617829084396 0.11292435973882675 0.06033622473478317 0.04769524186849594 0.006499310024082661
600 0.050004005432128906 0.08309965580701828 0.0904608890414238 0.09762614220380783 0.05448157712817192 0.050622254610061646 0.006595092825591564
700 0.04999653622508049 0.08590249717235565 0.09741828590631485 0.09856213629245758 0.05355333164334297 0.048594314604997635 0.006459275726228952
800 0.050000838935375214 0.05113297700881958 0.05243060365319252 0.05080102011561394 0.050128936767578125 0.051300857216119766 0.008107212372124195
900 0.050001997500658035 0.051060907542705536 0.05241120234131813 0.0506201833486557 0.05011117085814476 0.050077006220817566 0.007277943193912506
1000 0.05000045895576477 0.05098496004939079 0.052197668701410294 0.05060362443327904 0.050120387226343155 0.04872340336441994 0.006935977842658758
